means,start,std_errors
10569.9,0,0.684868
10568.6,1,0.456343
10568.8,2,0.586059
10568.7,3,0.184157
10569.4,6,0.15096
10569.4,8,0.253384
10569.5,9,0.201404
10569.5,9,0.201404
