means,start,std_errors
10569.2,0,0.0894413
10569.6,2,0.0984602
10569,3,0.0760541
10569.6,4,0.0638772
10569.7,6,0.353004
10569.3,7,0.0695766
10568.6,8,0.0697511
10567.5,9,0.10062
10567.5,9,0.10062
