80000,1.02509
180000,0.945216
140000,0.951885
120000,0.95486
100000,0.986338
0,0.946871
20000,0.964025
40000,1.07369
200000,0.95931
160000,0.868321
60000,0.965191
180001,1.13077
140001,1.05202
100001,1.13603
80001,1.18392
120001,1.20774
40001,1.08134
20001,1.10353
1,1.08353
200001,1.1258
160001,1.10791
60001,1.08883
180002,1.14509
40002,1.13673
120002,1.17608
2,1.13041
160002,1.12859
40003,1.03191
90000,2.72852
210000,2.96771
50000,2.77808
20002,1.04995
70000,2.72248
30000,2.84
80002,1.21428
100002,1.21166
170000,2.84487
10000,2.83067
60002,1.11596
40004,0.920055
160003,1.07948
110000,2.66091
200002,1.14345
150000,3.00415
190000,2.62216
130000,2.70624
140002,1.06507
180003,1.20949
120003,1.18478
3,1.11249
160004,1.11034
40005,0.976187
20003,1.1222
180004,1.14217
160005,1.10378
120004,1.17614
4,1.0648
200003,1.11087
100003,1.16382
40006,1.13893
60003,1.07401
80003,1.0938
20004,1.11211
160006,1.20785
180005,1.11172
90001,2.85873
120005,1.12165
5,1.08851
160007,1.24044
100004,1.11541
200004,1.07447
60004,1.05865
80004,0.985114
140003,0.975978
20005,1.08842
180006,1.19473
30001,2.94793
70001,2.79993
120006,1.21785
160008,1.28267
6,1.18897
50001,2.87501
210001,3.07742
100005,1.12608
170001,2.90757
200005,1.0768
80005,0.980601
150001,3.09402
60005,1.11611
140004,0.983533
130001,2.81361
20006,1.20128
10001,2.90899
40007,1.21432
110001,2.77949
120007,1.2424
200006,1.20277
100006,1.23384
190001,2.72718
160009,1.28015
80006,1.11751
60006,1.19587
140005,1.01486
90002,2.8752
200007,1.25759
120008,1.26057
80007,1.15588
140006,1.15928
180007,1.19529
7,1.19058
1600010,1.3269
60007,1.23221
40008,1.30295
120009,1.2639
20007,1.2202
80008,1.22235
140007,1.2657
200008,1.29156
100007,1.25295
1600011,1.30845
90003,1.08584
70002,2.84179
210002,3.09857
40009,1.31282
200009,1.33011
1200010,1.28394
50002,2.90693
150002,3.12007
140008,1.27612
90004,1.10684
